
="27.state_code",="-0.000647",="-0.0270",="-0.0142",="-0.0000112"
="",="(0.0530)",="(0.0619)",="(0.0526)",="(0.0000424)"

="28.state_code",="0.0908**",="0.0428",="0.0303",="0.0000252"
="",="(0.0348)",="(0.0406)",="(0.0345)",="(0.0000278)"

="29.state_code",="0.241***",="0.127*",="0.103",="0.00000690"
="",="(0.0541)",="(0.0632)",="(0.0536)",="(0.0000432)"

="30.state_code",="0.317***",="0.248***",="0.189***",="0.00000862"
="",="(0.0416)",="(0.0486)",="(0.0412)",="(0.0000333)"

="31.state_code",="0.144**",="0.0758",="0.0599",="0.0000566"
="",="(0.0459)",="(0.0537)",="(0.0455)",="(0.0000367)"

="32.state_code",="-0.0412",="-0.0541",="-0.0538",="0.0000291"
="",="(0.0351)",="(0.0410)",="(0.0348)",="(0.0000281)"

="33.state_code",="0.117**",="0.0590",="0.0517",="-0.000000791"
="",="(0.0426)",="(0.0498)",="(0.0422)",="(0.0000340)"

="34.state_code",="0.403***",="0.384***",="0.308***",="0.0000166"
="",="(0.0385)",="(0.0450)",="(0.0382)",="(0.0000308)"

="35.state_code",="0.121***",="0.0699",="0.0348",="0.0000163"
="",="(0.0343)",="(0.0401)",="(0.0340)",="(0.0000274)"

="36.state_code",="0.139***",="0.0800*",="0.0527",="0.0000265"
="",="(0.0343)",="(0.0401)",="(0.0341)",="(0.0000275)"

="37.state_code",="0.188***",="0.0963*",="0.0790*",="-0.00000496"
="",="(0.0371)",="(0.0433)",="(0.0368)",="(0.0000296)"

="38.state_code",="0.163***",="0.0956*",="0.0589",="0.00000286"
="",="(0.0367)",="(0.0428)",="(0.0364)",="(0.0000293)"

="39.state_code",="0.157***",="0.126**",="0.0973**",="0.0000236"
="",="(0.0346)",="(0.0404)",="(0.0343)",="(0.0000277)"

="40.state_code",="-0.00367",="-0.0319",="-0.0345",="0.0000575"
="",="(0.0424)",="(0.0495)",="(0.0420)",="(0.0000339)"

="41.state_code",="0.0727*",="0.0114",="0.00972",="0.0000169"
="",="(0.0360)",="(0.0421)",="(0.0357)",="(0.0000288)"

="42.state_code",="0.109*",="0.0416",="0.0398",="-0.0000105"
="",="(0.0499)",="(0.0583)",="(0.0495)",="(0.0000399)"

="43.state_code",="0.142***",="0.0960*",="0.0776*",="0.0000150"
="",="(0.0353)",="(0.0413)",="(0.0350)",="(0.0000282)"

="44.state_code",="0.292***",="0.246***",="0.218***",="0.0000422"
="",="(0.0339)",="(0.0396)",="(0.0336)",="(0.0000271)"

="45.state_code",="0.174***",="0.0913*",="0.0731",="0.00000433"
="",="(0.0388)",="(0.0453)",="(0.0385)",="(0.0000310)"

="46.state_code",="0.102**",="0.0383",="0.0415",="0.0000216"
="",="(0.0382)",="(0.0446)",="(0.0378)",="(0.0000305)"

="47.state_code",="0.0532",="0.0130",="0.00904",="-0.0000296"
="",="(0.0632)",="(0.0739)",="(0.0627)",="(0.0000505)"

="48.state_code",="0.146***",="0.0965*",="0.0612",="0.0000158"
="",="(0.0352)",="(0.0412)",="(0.0350)",="(0.0000282)"

="49.state_code",="0.128***",="0.0645",="0.0471",="0.0000163"
="",="(0.0363)",="(0.0424)",="(0.0359)",="(0.0000290)"

="50.state_code",="0.0959*",="0.0263",="0.0101",="0.00000238"
="",="(0.0424)",="(0.0495)",="(0.0420)",="(0.0000339)"

="51.state_code",="-0.00319",="-0.0195",="-0.00877",="0.000000238"
="",="(0.0551)",="(0.0644)",="(0.0546)",="(0.0000440)"

="_cons",="-0.385***",="-0.261***",="-0.0564",="0.0000537"
="",="(0.0345)",="(0.0403)",="(0.0342)",="(0.0000276)"

="N",="654233",="654233",="654233",="654233"
="R-sq",="0.009",="0.005",="0.006",="0.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
