
="",="(1)",="(2)",="(3)",="(4)"
="",="pc1_dummies",="pc1_counts",="count",="count_normal"

="unemployment_rate",="0.0464***",="0.0181***",="0.0378***",="0.00000427***"
="",="(0.000840)",="(0.000690)",="(0.000935)",="(0.000000753)"

="1.month",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.month",="-0.137***",="-0.0703***",="-0.0999***",="-0.00000417"
="",="(0.00790)",="(0.00649)",="(0.00879)",="(0.00000708)"

="3.month",="-0.0983***",="-0.0525***",="-0.0694***",="0.0000138"
="",="(0.00790)",="(0.00650)",="(0.00880)",="(0.00000708)"

="4.month",="-0.0175*",="-0.0154*",="0.0162",="0.0000219**"
="",="(0.00794)",="(0.00652)",="(0.00883)",="(0.00000711)"

="5.month",="-0.0114",="-0.0167*",="-0.000184",="0.00000934"
="",="(0.00793)",="(0.00652)",="(0.00883)",="(0.00000711)"

="6.month",="-0.0133",="-0.0200**",="0.00343",="0.00000609"
="",="(0.00790)",="(0.00650)",="(0.00880)",="(0.00000708)"

="7.month",="-0.0304***",="-0.0253***",="-0.0219*",="-0.00000667"
="",="(0.00790)",="(0.00649)",="(0.00879)",="(0.00000708)"

="8.month",="-0.0125",="-0.0106",="-0.00874",="0.00000400"
="",="(0.00791)",="(0.00650)",="(0.00881)",="(0.00000709)"

="9.month",="-0.0203*",="-0.0207**",="-0.00729",="0.0000116"
="",="(0.00794)",="(0.00652)",="(0.00884)",="(0.00000711)"

="10.month",="-0.0384***",="-0.0244***",="-0.0300***",="-0.0000150*"
="",="(0.00795)",="(0.00653)",="(0.00885)",="(0.00000712)"

="11.month",="-0.0370***",="-0.0300***",="-0.0309***",="-0.0000144*"
="",="(0.00796)",="(0.00654)",="(0.00886)",="(0.00000713)"

="12.month",="-0.0899***",="-0.0483***",="-0.0654***",="-0.0000138*"
="",="(0.00764)",="(0.00628)",="(0.00851)",="(0.00000685)"

="_cons",="-0.276***",="-0.121***",="0.0240**",="0.0000755***"
="",="(0.00753)",="(0.00619)",="(0.00839)",="(0.00000675)"

="N",="654233",="654233",="654233",="654233"
="R-sq",="0.006",="0.001",="0.003",="0.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
